Uuid,Void/Retire,Entity name,Name,Description,Min occurs,Max occurs,Datatype classname,Datatype config,Preferred handler classname,Handler config,_order:1000
98687afb-dfee-41f1-bcd6-c10c3734d9bc,,Location,hmiscode,This attribute type will record the hmiscode of the facility,0,999,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
043e7dc9-8a3d-4f32-b5a1-a0a8cf303141,,Location,humidity,This attribute type will record the humidity of the location,0,999,org.openmrs.customdatatype.datatype.FreeTextDatatype,,,,
