Uuid,Void/Retire,Name,Description,Format,Foreign,Searchable
54d4a066-15f5-102d-96e4-000c29c2a5d7,0,Disability Status,The disability status  (Yes/No) of the person,java.lang.String,,,
65d4a066-15f5-221a-96e4-000c29c2a1dd,0,Blood Type,The blood type (A+,A-,B+,B-,AB+,AB-,O+,O-) of the person,java.lang.String,,,
